,text,label
20,"You are given a news headline in English. Your task is to output 'sarcastic' or 'non-sarcastic', depending on whether the headline is sarcastic or not. A sarcastic sentence is one that uses words that mean the opposite of what the speaker really wants to say.",1
21,You will be given a news headline in English. You need to output whether the headline is sarcastic or not. A sarcastic sentence is one that uses words that mean the opposite of what the speaker really wants to say.,0
22,"The task is to classify whether a medical case report extracted from MEDLINE mentions the presence of any adverse drug reaction. Classify answers into non-adverse drug event and adverse drug event. Adverse drug reactions are reactions that are appreciably harmful or unpleasant, resulting from the use of medical products. These reactions predict hazard from future administration of the product and warrant prevention or specific treatment, or alteration of the dosage regimen, or withdrawal of the product.",1
23,The task is to classify whether a given medical case report extracted from MEDLINE mentions the presence of any adverse drug reaction. An adverse drug reaction is a harmful or unpleasant reaction resulting from the use of a medical product. A non-adverse drug event is a case that does not mention the presence of any adverse drug reaction.,0
24,"The input is a tweet. Given such a tweet, output whether it is classified as Hate Speech, Offensive, or Normal. Hate Speech will contain threatening language towards the community targeted. Offensive language will contain abusive or discriminatory language towards the community targeted.",1
25,"The input is a tweet which can be classified as Hate Speech, Offensive or Normal. Given such a tweet, output the class the tweet belongs to. Hate Speech tweets contain threatening language towards the community targeted. Offensive tweets contain abusive or discriminatory language towards the community targeted.",0
26,"The task is to determine whether a given set of steps are in order or not. If the steps reference information that is introduced in a later step, then the answer is No. Otherwise, the answer is Yes.",1
27,"You need to output 'Yes' or 'No' in response to the question 'Are the given steps in order?', where 'Yes' means the steps are in order and make sense in the order that they are in, and 'No' means the steps are out of order and do not make sense in the order they are in. A set of steps are not in order if the steps reference information that is introduced in a later step.",0
28,You will be given an English sentence. You need to output 'good' if the sentence is a grammatically correct instance of a sentence where the subject and self-referencing nouns match plurality. Output 'bad' for everything else.,1
29,"In this task, you will be given an English sentence. You need to output 'good' if the sentence is a valid representation of an anaphor number agreement, or 'bad' if it is not. A valid representation of an anaphor number agreement is a grammatically correct sentence where the subject and self-referencing nouns match plurality.",0
30,"In this task, you are given a paragraph, an event and an entity.",1
31,"In this task, you are given a paragraph and an event. The event is part of the paragraph and it changes the state of an entity. Your task is to classify the state of the entity into three classes: 1) not exist, 2) unknown location and 3) known location. ""not exist"" means the entity doesn't exist in that state anymore. ""unknown location"" means the entity exists in that state but location is unknown. ""known location"" means the entity exists and location is known.",0
32,"For each object and part, you will need to output 1 or 0 to indicate whether the object has the given part. 1 means the object has the given part, while 0 means it doesn't have the part.",1
33,"Given an object and a part, output 1 if the object has that part, and output 0 if it doesn't have the part. For example, if you are asked 'gun has barrel', you need to decide if a gun has a barrel as one of its components or parts. All sentences strictly follow the template 'object has part?",0
34,"Given a comment, your task is to classify it as either a 'hate' speech or 'not hate' speech. If it is a hate speech, output 'hate'. If it is not a hate speech, output 'not hate'.",1
35,"You will be given a comment. You need to output 'hate' if the comment is classified as a hate speech, or 'not hate' if the comment is not classified as a hate speech.",0
36,"You will be given a piece of text. If there is inhumanity associated with it, classify the text as 'violence'. Otherwise, classify it as 'not violence'. Inhumanity includes killing people or hurting them in any way.",1
37,"In this task you should output 'violence' if the text mentions killing people or hurting them in any way. Otherwise, output 'not violence'.",0
38,"You will be given a piece of text. You need to output 'religious hate' if the text contains hate based on religion, or 'not religious hate' if the text does not contain hate based on religion.",1
39,"Classify the given text as 'religious hate' or 'not religious hate' based on whether there is hate against a religion or not. If there is hate based on religion in the text, answer with 'religious hate'. Otherwise, answer with 'not religious hate'.",0
40,"In this task, you will be given a conversation and a question. You will need to categorize the question into one of the following groups: matching, summary, logic, arithmetic, or commonsense. Matching questions are those that can be answered by a single sentence in the dialogue. Summary questions require an understanding of the entire conversation, including the topic and the relationship between the speakers. Logic questions require logical reasoning. Arithmetic questions require knowledge of arithmetic. Commonsense questions require knowledge that is not obtained from the conversation itself, but from general commonsense. Note that a question can belong to more than one group.",1
41,"In this task, you will be given a conversation and a question. You will need to categorize the question into one or more of the following groups: matching, summary, logic, arithmetic, and commonsense. A matching question is one that can be answered by a single sentence in the dialogue, and the answer can be extracted from that sentence. A summary question requires the whole picture of the dialogue in order to be answered, such as the topic of the dialogue and the relation between the speakers. A logic question requires logical reasoning to answer. An arithmetic question requires arithmetic knowledge to answer. A commonsense question requires knowledge that cannot be obtained from the dialogue, in addition to the textual information in the dialogue. Note that a question can be in more than one group.",0
42,"In this task, you are given a short passage that may convey stereotype, anti-stereotype, or is unrelated. A stereotype is an over-generalized belief about a particular group of people. An anti-stereotype is an idea that goes against a common stereotype. The passage is unrelated if it does not convey a stereotype or anti-stereotype. You are expected to classify the passage into three classes: stereotype, anti-stereotype, and unrelated.",1
43,"In this task, you are given a short passage that may convey a stereotype, an anti-stereotype, or be unrelated. A stereotype is an over-generalized belief about a particular group of people. An anti-stereotype is an idea that goes against a common stereotype. The passage is unrelated if it does not convey a stereotype or anti-stereotype. Your task is to classify the passage into one of these three categories.",0
44,"Given a review of a movie, your task is to output 'positive' or 'negative' based on the review's content.",1
45,"Given a movie review, your task is to output whether the review is 1) positive or 2) negative based on its content.",0
46,"In this task, you are given a public comment from online platforms. You are expected to classify the comment into two classes: threat and non-threat. Threat is a statement that someone will be hurt or harmed, especially if the person does not do something in particular. Non-threat is a statement that is not a threat.",1
47,"You are given a comment from an online platform. Your task is to output 'threat' if the comment is a statement that someone will be hurt or harmed, or output 'non-threat' if the comment is not a statement that someone will be hurt or harmed.",0
48,"In this task, you are given a public comment from online platforms. Your task is to classify the comment into one of two classes: disagree or agree. Comments should be classified as disagree if they are likely to raise a certain level of public disagreement. This disagreement can be due to toxic content, controversial content, misunderstandings, or conflicting opinions. Comments should be classified as agree if they are not likely to raise such levels of public disagreement.",1
49,"In this task, you are given a public comment from online platforms. You are expected to output 'disagree' if the comment is likely to raise a certain level of public disagreement, whether healthy or unhealthy. The disagreement can be due to toxic content (for example, disrespect, identity attack, insult, and threat), controversial content, misunderstandings, or conflicting opinions. Output 'agree' otherwise.",0
50,"In this task, you are given a public comment from online platforms. You are expected to output 'toxic' or 'non-toxic' depending on whether the comment is toxic or not. Toxicity is defined as anything that is rude, disrespectful, or unreasonable that would make someone want to leave a conversation.",1
51,"In this task, you will be given a public comment from an online platform. You will need to classify the comment into one of two classes: toxic or non-toxic. Toxicity is defined as anything that is rude, disrespectful, or unreasonable that would make someone want to leave a conversation.",0
52,"In this task, you are given a sentence and a profession. The sentence mentions two professions: one's gender is identifiable using the coreference link with gendered pronouns and the other's gender is unidentifiable. If the given profession's gender is identifiable, return 'identifiable'. If the given profession's gender is unidentifiable, return 'unidentifiable'.",1
53,"In this task, you are given a sentence and a profession. The sentence mentions two professions, one of which is identifiable as male or female using the coreference link with gendered pronouns, and the other of which is not identifiable as male or female. You are expected to return whether the given profession is identifiable as male or female.",0
54,"The input is taken from a negotiation between two participants who take the role of campsite neighbors and negotiate for Food, Water, and Firewood packages, based on their individual preferences and requirements. Given an utterance and recent dialogue context containing past 3 utterances (wherever available), output Yes if the utterance contains the elicit-pref strategy, otherwise output No. Elicit-pref is a cooperative negotiation strategy. It is used to discover the preference order of the opponent in the negotiation.",1
55,"Given an utterance and recent dialogue context containing past 3 utterances (if available), output 'Yes' if the utterance contains the elicit-pref strategy, and output 'No' if it does not. The elicit-pref strategy is a cooperative negotiation strategy used to discover the preference order of the opponent in the negotiation.",0
